business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.ByAppointmentOnly,attributes.BusinessAcceptsCreditCards,attributes.BikeParking,attributes.RestaurantsPriceRange2,attributes.CoatCheck,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.Caters,attributes.WiFi,attributes.BusinessParking,attributes.WheelchairAccessible,attributes.HappyHour,attributes.OutdoorSeating,attributes.HasTV,attributes.RestaurantsReservations,attributes.DogsAllowed,attributes.Alcohol,attributes.GoodForKids,attributes.RestaurantsAttire,attributes.Ambience,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.DriveThru,attributes.NoiseLevel,attributes.GoodForMeal,attributes.BusinessAcceptsBitcoin,attributes.Smoking,attributes.Music,attributes.GoodForDancing,attributes.AcceptsInsurance,attributes.BestNights,attributes.BYOB,attributes.Corkage,attributes.BYOBCorkage,attributes.HairSpecializesIn,attributes.Open24Hours,attributes.RestaurantsCounterService,attributes.AgesAllowed,attributes.DietaryRestrictions,hours.Monday,hours.Tuesday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday
LcAozWCMLGjwRbokaJAKMg,Edwardsville Children's Museum,722 Holyoake Rd,Edwardsville,IL,62025,38.8043945,-89.9497332,4.5,12,1,"Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums",NA,True,NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,NA,NA,NA,NA,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:0-15:0,9:30-14:0,10:0-18:0,10:0-18:0,9:30-17:30,9:30-17:30,NA
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,312 Piasa St,Alton,IL,62002,38.896563,-90.1862032987,3,94,1,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops",NA,True,True,2,NA,True,False,True,'free',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True,NA,u'full_bar',True,u'casual',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",True,True,NA,u'average',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:0-0:0,16:0-21:30,16:0-21:30,16:0-21:30,16:0-22:0,16:0-22:0,16:0-21:30
bCBPXIVfVzBZBEpFu29dcg,All In Shipping,5343 Belleville Crossing St,Belleville,IL,62226,38.5175856,-90.0219285,5,5,1,"Shipping Centers, Local Services",NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sE6jSnvMts_MAn-b4OkMAw,K-9 Groom Room,820 Industrial Dr,Troy,IL,62294,38.7162443,-89.8858296,4,5,1,"Pet Groomers, Pet Sitting, Pets, Pet Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-14:0,NA
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,51 Ludwig Dr,Fairview Heights,IL,62208,38.6012982,-89.9896835,2.5,14,1,"Seafood, Restaurants",NA,NA,NA,NA,NA,True,True,NA,NA,"{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}",NA,NA,NA,True,NA,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-23:0,12:0-23:0,12:0-22:0
JnbSkfsl_j2dUoHncBTonA,Collision XS,1416 Centreville Ave,Belleville,IL,62220,38.5022786,-90.00616971,4.5,6,1,"Auto Repair, Body Shops, Automotive",NA,True,NA,NA,NA,NA,NA,NA,u'free',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,NA,NA
8oi1Gm7XLyK31Y3N3Wp2Ig,A & A Complete Services,,Smithton,IL,62285,38.3935,-90.0107,1,11,1,"Plumbing, Home Services",True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,NA,NA
gRw-rxLFeNzyqa6hKPXD1w,Heitz Optical,2415 Homer M Adams Pkwy,Alton,IL,62002,38.918418,-90.151949,4,5,1,"Eyewear & Opticians, Sporting Goods, Shopping, Medical Supplies, Laser Eye Surgery/Lasik, Optometrists, Health & Medical, Outdoor Gear",True,True,False,2,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-13:0,NA
uYBx50Yl_Jc-UYwFzudBsQ,Chew Doin Fried Chicken & Ramen,210 South Buchanan,Edwardsville,IL,62025,38.8105909,-89.9524841,3,10,0,"Restaurants, Chicken Shop, Ramen, Japanese",NA,True,NA,NA,NA,True,True,False,u'no',NA,NA,NA,False,NA,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:0-0:0,11:0-21:0,11:0-21:0,16:0-20:0,11:0-21:0,16:0-22:0,NA
WYVDN3VDDTiEUV0QR8D2Hg,Ron & Jo's Firearms & Sporting Supplies,1562 Frontage Rd,O Fallon,IL,62269,38.5984757,-89.9591083,3.5,6,1,"Guns & Ammo, Sporting Goods, Shopping",NA,NA,False,2,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:0-18:30,11:0-18:30,11:0-18:30,11:0-18:30,10:0-18:30,NA
zjQDk4tZyhEroyqtkgvx0g,The Cobblestone Eatery and Drinkery,115 W St Louis St,Lebanon,IL,62254,38.6041071,-89.8085329,3.5,52,1,"American (Traditional), Nightlife, Breakfast & Brunch, Event Planning & Services, Venues & Event Spaces, Italian, Bars, Restaurants",False,True,False,2,False,True,False,False,u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,False,False,u'full_bar',True,NA,"{u'divey': None, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': None}",True,True,NA,u'average',"{u'breakfast': None, u'brunch': None, u'lunch': None, u'dinner': True, u'latenight': None, u'dessert': None}",False,u'outdoor',"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",False,NA,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}",NA,NA,NA,NA,NA,NA,NA,NA,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
gI34hM-873fwF1XQ8hOaSg,Joe’s Pizza and Pasta,"5775 Godfrey Rd, Ste A",Godfrey,IL,62035,38.9491828,-90.1903059,4,17,1,"Salad, Pizza, Restaurants, Italian",NA,True,True,NA,NA,True,True,True,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,NA,True,True,True,NA,u'beer_and_wine',NA,NA,"{u'divey': None, u'hipster': None, u'casual': None, u'touristy': None, u'trendy': False, u'intimate': None, u'romantic': None, u'classy': False, u'upscale': None}",True,NA,True,NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:30-21:0,11:30-20:0
MVmJuns9ZD9QLGltc0Am8g,Triple R's Smokehouse,1414 W Main St,Mascoutah,IL,62258,38.4935850144,-89.8207885399,4.5,8,0,"Restaurants, Barbeque",NA,True,NA,2,NA,True,False,True,NA,NA,NA,NA,True,NA,False,NA,NA,True,'casual',NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-18:0
61oyIzeFjG977kMhMxVznw,Distler's Auto Repair,100 N Main St,O Fallon,IL,62269,38.5616342,-89.896862,4,5,1,"Towing, Automotive, Auto Parts & Supplies, Auto Repair",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,NA,NA
CJNKR_FQ4BOiJqcTtZlkoA,Kinzels Flower Shop,723 E 5th St,Alton,IL,62002,38.8913389123,-90.173185,4,8,1,"Shopping, Flowers & Gifts, Florists",NA,True,NA,2,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-13:0,NA
9Bf4mhvCmA6sv0hpwi3jDw,Quality Inn & Suites Near St. Louis And I-255,1607 Pontiac Drive,Cahokia,IL,62206,38.555865,-90.164445,3,14,1,"Event Planning & Services, Hotels & Travel, Hotels, Home Services, Home Cleaning",NA,True,NA,2,NA,NA,NA,NA,u'free',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
FzelkV3vzxkRgBmVSIqALA,Edley’s,2392 S State Rt 157,Glen Carbon,IL,62034,38.7733254332,-89.9929298076,3,34,1,"Barbeque, Restaurants",NA,NA,NA,2,NA,NA,NA,True,NA,"{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': None}",NA,NA,True,True,NA,NA,u'full_bar',NA,NA,"{u'divey': False, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': None}",NA,NA,NA,u'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-21:0
