Customer_ID,Call_Failure,Complains,Subscription_Length,Charge_Amount,Seconds_of_use,Frequency_of_use,Frequency_of_SMS,Distinct_Called_Numbers,Age_Group,Tariff_Plan,Status,Customer_Value,Churn
19150,8,0,38,0,NA,71,NA,17,3,1,1,197.64,0
16208,0,0,39,0,318,5,7,4,2,1,2,46.035,0
14115,10,0,38,0,4198,NA,1,35,1,1,1,240.02,0
17389,3,0,38,0,NA,58,2,33,1,1,1,145.805,0
16790,11,0,NA,1,3775,82,32,28,3,1,1,282.28,0
12297,13,0,NA,2,9115,121,144,43,3,1,1,945.44,0
13318,7,0,38,0,13773,169,0,44,3,1,1,557.68,0
17745,6,0,NA,0,5918,95,7,12,3,1,1,268.52,0
17475,9,0,38,0,2238,NA,8,17,3,1,NA,123.68,0
17910,25,0,38,3,15140,225,54,32,3,1,1,830.6,0
13658,4,0,38,NA,3095,27,483,8,3,1,1,2056.88,0
15703,9,0,37,0,15485,182,150,30,2,1,1,1380.015,0
14644,3,0,37,1,NA,86,186,26,3,1,1,NA,0
19020,2,0,38,0,710,14,13,8,3,1,2,80.96,0
16077,0,0,37,NA,0,0,0,0,2,1,2,0,1
16536,3,0,37,0,7508,127,384,43,2,1,1,2071.575,0
15057,8,0,37,1,6718,75,NA,37,2,1,1,791.685,0
13750,23,1,33,NA,955,47,16,NA,2,1,2,117.09,1
17260,21,1,36,8,NA,93,1,42,5,2,1,159.42,0
15728,13,1,NA,1,5818,98,26,24,2,1,1,383.22,1
15862,1,0,34,0,2840,22,0,14,3,1,1,114.48,0
10629,9,0,35,NA,2990,41,NA,16,3,1,2,157.24,1
18974,1,0,36,0,1668,25,NA,NA,3,1,1,67.72,0
17069,3,0,33,1,6785,NA,14,22,5,1,1,124.23,0
12975,0,1,36,NA,628,NA,9,4,4,1,2,38.375,1
15191,0,0,36,1,338,4,4,NA,5,1,1,11.13,0
13370,25,0,NA,3,16075,238,0,80,2,2,1,734.085,0
19589,NA,0,34,3,6965,116,271,33,2,2,1,1538.145,0
16283,2,0,36,NA,3718,82,2,NA,2,1,1,180,0
18865,3,0,NA,NA,1665,44,38,20,NA,1,2,220.36,0
15746,NA,0,36,0,2780,53,175,23,2,1,1,914.985,0
14844,NA,0,27,1,1315,36,193,11,2,2,1,929.295,0
13263,4,0,26,0,1568,39,30,NA,4,1,1,115.175,0
14685,11,0,27,0,700,25,10,7,2,1,2,77.625,0
17291,0,0,NA,0,NA,10,NA,3,4,1,2,73.375,1
17751,NA,0,25,0,NA,32,NA,13,2,1,1,142.065,0
17893,2,0,18,NA,1695,NA,28,14,2,1,1,203.445,0
17207,16,0,17,1,6393,141,85,42,2,2,1,676.53,0
10258,12,0,15,0,8933,171,73,40,4,1,1,410.1,0
14906,8,0,NA,3,2853,45,31,19,3,2,1,239.92,0
14074,2,0,9,1,NA,40,215,10,3,1,1,1037.2,0
17533,3,0,9,1,1488,19,0,7,3,1,1,60.28,1
18215,11,0,40,1,NA,74,10,19,3,1,1,220.16,0
13729,3,0,41,1,378,8,12,6,3,1,1,63.44,0
10441,14,0,40,2,3835,85,37,30,3,2,1,304.8,0
17115,16,0,39,3,9175,124,149,45,3,1,1,967.96,0
12301,10,0,40,1,13833,172,5,46,3,1,1,580.2,0
17811,10,0,NA,NA,4575,86,7,27,3,1,1,214.44,0
13827,NA,0,40,NA,5978,98,12,14,3,1,1,291.04,0
19063,12,0,40,1,2298,57,13,19,3,1,1,146.2,0
10093,28,0,40,4,15200,228,59,NA,3,1,1,NA,0
18270,12,0,39,NA,NA,185,NA,NA,2,1,1,1405.35,0
10989,NA,0,39,2,NA,89,191,NA,3,1,1,1029.96,0
11170,3,0,39,1,935,NA,5,13,2,1,1,65.34,0
16213,5,0,40,1,770,17,18,10,3,1,1,103.48,0
18561,3,1,39,1,60,3,NA,2,2,1,1,25.335,1
12316,6,0,39,1,NA,130,389,45,3,1,1,1863.92,0
16792,10,0,39,2,11525,157,16,49,4,2,1,332.05,0
11476,11,0,NA,NA,6778,78,113,39,2,1,1,817.02,0
12166,26,1,35,1,1015,50,21,19,3,1,1,126.6,1
18928,NA,1,38,9,10495,NA,6,44,5,2,1,167.865,0
14728,16,0,38,NA,5878,NA,NA,NA,2,1,1,408.555,0
15278,4,0,36,NA,NA,25,5,16,3,1,1,137,0
16849,12,NA,37,1,3050,44,NA,18,3,1,1,179.76,1
16671,3,0,38,1,193,NA,5,4,3,1,1,27.92,1
17754,4,0,38,1,1728,28,5,8,4,1,1,56.4,0
14194,6,0,35,2,6845,100,19,24,5,1,1,132.675,0
14158,3,0,38,1,NA,10,NA,6,4,1,1,52.45,1
16121,3,0,38,2,398,NA,9,4,5,1,1,19.575,0
13936,28,0,33,4,16135,241,5,NA,2,1,1,759.42,0
18577,9,1,36,4,7025,119,276,35,3,2,1,1389.76,0
16757,NA,0,38,1,3778,NA,7,30,3,1,1,182.52,0
11058,NA,0,37,NA,NA,47,43,22,3,1,1,242.88,0
12777,7,0,29,NA,1375,39,198,13,3,2,1,848.56,0
18463,NA,0,28,1,1628,42,35,70,NA,1,1,129.25,0
15363,14,0,29,1,NA,28,15,9,3,1,1,91.52,0
17177,3,0,28,1,885,13,26,5,4,1,1,87.45,0
10615,13,0,27,1,NA,35,24,15,2,1,1,167.4,0
13715,5,0,20,1,1755,29,33,16,2,1,1,228.78,0
12929,19,0,19,2,6453,144,90,NA,2,2,1,701.865,0
17637,15,0,17,1,8993,174,78,42,5,1,1,254.505,0
14005,11,0,18,4,2913,48,36,21,3,1,1,262.44,0
12703,5,0,36,0,4310,68,0,15,2,1,1,197.01,0
17114,7,0,36,0,4138,63,0,33,1,1,1,231.055,0
18635,NA,0,36,0,2333,NA,NA,31,1,1,1,131.34,0
16044,8,0,36,0,3715,79,27,26,3,1,1,259.76,0
12135,1,0,36,0,2300,NA,280,16,3,1,1,1213.44,0
18426,10,0,35,1,9055,118,139,41,3,1,1,922.92,0
