iter	Accuracy	Logloss
0	0.9055555556	0.6376490706
1	0.903968254	0.5874532137
2	0.9027777778	0.5437059533
3	0.9031746032	0.5032582347
4	0.9067460317	0.4687603079
5	0.9055555556	0.4385948922
6	0.9031746032	0.4147770326
7	0.9043650794	0.3903318175
8	0.9035714286	0.3739378838
9	0.9023809524	0.3625589726
10	0.9011904762	0.3456519998
11	0.9027777778	0.3271840675
12	0.903968254	0.3129044414
13	0.9043650794	0.3026059484
14	0.9071428571	0.290389514
15	0.9119047619	0.2810248231
16	0.9126984127	0.2717380417
17	0.9166666667	0.2636350117
18	0.9178571429	0.2567677053
19	0.9174603175	0.251714478
20	0.9194444444	0.247340138
21	0.9182539683	0.2414085373
22	0.9194444444	0.2363546491
23	0.9194444444	0.2300269606
24	0.9198412698	0.2257059249
25	0.921031746	0.2201634818
26	0.921031746	0.2178187662
27	0.9226190476	0.2145537825
28	0.9226190476	0.2116585669
29	0.9234126984	0.2083796505
30	0.9234126984	0.2062091834
31	0.9246031746	0.2031522835
32	0.925	0.2013587264
33	0.9253968254	0.1990306101
34	0.9253968254	0.1970289099
35	0.9293650794	0.1941703747
36	0.930952381	0.1910524615
37	0.9317460317	0.1884965632
38	0.9321428571	0.1856765685
39	0.9329365079	0.1829143301
40	0.9333333333	0.1818276749
41	0.9337301587	0.1802021783
42	0.9333333333	0.1785982357
43	0.9341269841	0.1774499201
44	0.9337301587	0.175674799
45	0.9341269841	0.1747324105
46	0.9369047619	0.173273966
47	0.9373015873	0.171756164
48	0.9365079365	0.1704558958
49	0.9373015873	0.1694271222
50	0.9365079365	0.1670923735
51	0.9369047619	0.1657055164
52	0.9392857143	0.1635335432
53	0.9412698413	0.1615323244
54	0.9416666667	0.1596651606
55	0.9436507937	0.1580395919
56	0.9456349206	0.1570290851
57	0.9472222222	0.1561171649
58	0.9472222222	0.1552237575
59	0.9472222222	0.1542333291
60	0.9472222222	0.1531841208
61	0.9468253968	0.1520791644
62	0.9468253968	0.1518930157
63	0.9464285714	0.1509781648
64	0.9464285714	0.1498083703
65	0.9472222222	0.148065533
66	0.9476190476	0.1468632544
67	0.9476190476	0.1466295193
68	0.948015873	0.1457891603
69	0.948015873	0.1447528831
70	0.948015873	0.1438449286
71	0.9488095238	0.1428884691
72	0.9496031746	0.1421593814
73	0.9507936508	0.1409437404
74	0.9507936508	0.1400166207
75	0.9511904762	0.13937429
76	0.951984127	0.1378832643
77	0.9523809524	0.1372861374
78	0.9531746032	0.1366578336
79	0.9531746032	0.135404582
80	0.9531746032	0.1347369008
81	0.9531746032	0.1346524087
82	0.9531746032	0.13410095
83	0.9527777778	0.133670918
84	0.9547619048	0.1327792761
85	0.9551587302	0.1312861356
86	0.955952381	0.130054946
87	0.9563492063	0.1294546295
88	0.9563492063	0.128791626
89	0.9563492063	0.1281479852
90	0.9563492063	0.12757968
91	0.9563492063	0.126930577
92	0.9571428571	0.1261358212
93	0.9579365079	0.1253605666
94	0.9575396825	0.1248104484
95	0.9575396825	0.1242848537
96	0.9575396825	0.1242061382
97	0.9575396825	0.1233692249
98	0.9571428571	0.1228074781
99	0.9575396825	0.1219300356
100	0.9583333333	0.1211480196
101	0.9583333333	0.1206312193
102	0.9587301587	0.1201503788
103	0.9591269841	0.119503224
104	0.9591269841	0.118924336
105	0.9591269841	0.1188354462
106	0.9591269841	0.1182417674
107	0.9607142857	0.1174572281
108	0.9623015873	0.1168987952
109	0.9630952381	0.1163582985
110	0.9630952381	0.1158826071
111	0.9630952381	0.1154317377
112	0.9630952381	0.115137169
113	0.9630952381	0.1146634089
114	0.9630952381	0.1141801129
115	0.9634920635	0.1139326031
116	0.9638888889	0.1133785614
117	0.9638888889	0.112881284
118	0.9646825397	0.1124808217
119	0.9646825397	0.1120509282
120	0.9654761905	0.1114497031
121	0.9646825397	0.1110664485
122	0.9670634921	0.1102431629
123	0.9666666667	0.1093859037
124	0.9670634921	0.1088777772
125	0.9658730159	0.1079679715
126	0.9662698413	0.107219167
127	0.9666666667	0.1068126335
128	0.9666666667	0.1062456386
129	0.9666666667	0.1057886941
130	0.9670634921	0.1052875481
131	0.9674603175	0.1047542931
132	0.9678571429	0.1042257563
133	0.9682539683	0.103872231
134	0.9682539683	0.1036206716
135	0.969047619	0.1029408627
136	0.9698412698	0.1023924976
137	0.9698412698	0.102114335
138	0.9698412698	0.1017050881
139	0.9714285714	0.1006708374
140	0.9718253968	0.100202553
