iter	Passed	Remaining
0	11	8299
1	23	8171
2	36	8474
3	48	8413
4	61	8559
5	74	8615
6	88	8724
7	101	8779
8	114	8761
9	121	8406
10	134	8432
11	148	8519
12	162	8586
13	175	8615
14	188	8627
15	202	8657
16	215	8677
17	229	8691
18	243	8726
19	256	8733
20	270	8753
21	284	8754
22	298	8788
23	314	8857
24	331	8957
25	346	8984
26	356	8887
27	370	8886
28	384	8891
29	397	8884
30	411	8880
31	424	8861
32	437	8847
33	451	8840
34	464	8823
35	477	8809
36	491	8802
37	504	8784
38	517	8767
39	531	8764
40	544	8749
41	557	8731
42	571	8724
43	584	8710
44	597	8693
45	610	8677
46	623	8658
47	636	8645
48	650	8637
49	663	8625
50	676	8607
51	689	8593
52	702	8575
53	716	8567
54	729	8558
55	743	8546
56	756	8532
57	769	8522
58	782	8505
59	796	8492
60	809	8480
61	822	8465
62	828	8380
63	842	8368
64	855	8361
65	869	8348
66	882	8341
67	892	8295
68	905	8282
69	919	8273
70	932	8260
71	945	8247
72	959	8237
73	972	8224
74	985	8210
75	999	8208
76	1013	8197
77	1026	8182
78	1039	8171
79	1052	8158
80	1065	8144
81	1072	8081
82	1086	8073
83	1099	8059
84	1112	8049
85	1125	8038
86	1139	8030
87	1152	8018
88	1166	8008
89	1179	7996
90	1192	7983
91	1206	7974
92	1219	7960
93	1232	7947
94	1246	7936
95	1259	7923
96	1266	7875
97	1280	7866
98	1293	7854
99	1306	7841
100	1320	7830
101	1333	7817
102	1346	7802
103	1359	7790
104	1372	7776
105	1379	7732
106	1393	7721
107	1406	7710
108	1419	7695
109	1432	7683
110	1445	7670
111	1458	7659
112	1472	7647
113	1485	7634
114	1497	7619
115	1511	7609
116	1524	7595
117	1537	7580
118	1550	7571
119	1564	7559
120	1577	7547
121	1590	7536
122	1603	7523
123	1616	7509
124	1630	7499
125	1643	7486
126	1656	7472
127	1669	7461
128	1682	7448
129	1696	7436
130	1709	7425
131	1725	7425
132	1738	7412
133	1752	7402
134	1765	7389
135	1778	7376
136	1792	7365
137	1804	7350
138	1818	7338
139	1831	7327
140	1845	7315
141	1858	7301
142	1871	7290
143	1884	7276
144	1898	7266
145	1916	7271
146	1931	7266
147	1946	7259
148	1960	7248
149	1974	7239
150	1987	7227
151	1991	7178
152	2004	7165
153	2017	7153
154	2030	7140
155	2044	7129
156	2057	7116
157	2070	7103
158	2084	7091
159	2097	7078
160	2109	7063
161	2123	7050
162	2136	7037
163	2149	7025
164	2155	6989
165	2169	6978
166	2182	6965
167	2195	6952
168	2208	6938
169	2221	6926
170	2235	6916
171	2249	6905
172	2263	6894
173	2277	6886
174	2290	6872
175	2304	6860
176	2318	6850
177	2331	6836
178	2344	6824
179	2358	6812
180	2371	6799
181	2384	6786
182	2398	6775
183	2411	6763
184	2424	6750
185	2437	6737
186	2450	6722
187	2464	6711
